age_in_days,asset.display_fqdn,asset.display_ipv4_address,asset.display_ipv6_address,asset.display_mac_address,asset.host_name,asset.id,asset.ipv4_addresses,asset.ipv6_addresses,asset.last_authenticated_scan_time,asset.last_licensed_scan_time,asset.name,asset.netbios_name,asset.network.id,asset.network.name,asset.operating_system,asset.operating_systems,asset.system_type,asset.tags,asset_inventory,default_account,definition.bugtraq,definition.cpe,definition.cve,definition.cvss2.base_score,definition.cvss2.base_vector,definition.cvss2.temporal_score,definition.cvss2.temporal_vector,definition.cvss3.base_score,definition.cvss3.base_vector,definition.cvss3.temporal_score,definition.cvss3.temporal_vector,definition.cvss4.base_score,definition.cvss4.base_vector,definition.cwe,definition.description,definition.epss.score,definition.exploitability_ease,definition.exploited_by_malware,definition.exploited_by_nessus,definition.family,definition.iava,definition.iavb,definition.iavm,definition.iavt,definition.id,definition.in_the_news,definition.malware,definition.name,definition.patch_published,definition.plugin_published,definition.plugin_updated,definition.plugin_version,definition.references,definition.see_also,definition.severity,definition.solution,definition.stig_severity,definition.synopsis,definition.type,definition.unsupported_by_vendor,definition.vpr.drivers_age_of_vulns_high,definition.vpr.drivers_age_of_vulns_low,definition.vpr.drivers_cvss3_impact_score,definition.vpr.drivers_exploit_code_maturity,definition.vpr.drivers_product_coverage,definition.vpr.drivers_threat_intensity,definition.vpr.drivers_threat_recency_high,definition.vpr.drivers_threat_recency_low,definition.vpr.drivers_threat_sources,definition.vpr.score,definition.vpr_v2.drivers_cve_id,definition.vpr_v2.drivers_exploit_chain,definition.vpr_v2.drivers_exploit_code_maturity,definition.vpr_v2.drivers_exploit_probability,definition.vpr_v2.drivers_in_the_news_intensity_last_30,definition.vpr_v2.drivers_in_the_news_recency,definition.vpr_v2.drivers_in_the_news_sources_last_30,definition.vpr_v2.drivers_malware_observations_intensity_last_30,definition.vpr_v2.drivers_malware_observations_recency,definition.vpr_v2.drivers_on_cisa_kev,definition.vpr_v2.drivers_targeted_industries,definition.vpr_v2.drivers_targeted_regions,definition.vpr_v2.drivers_vpr_percentile,definition.vpr_v2.drivers_vpr_severity,definition.vpr_v2.score,definition.vulnerability_published,definition.workaround,definition.workaround_published,definition.workaround_type,first_observed,id,last_fixed,last_seen,output,port,protocol,recast_reason,resurfaced_date,risk_modified,scan.id,scan.target,severity,software_vulns,source,state,time_to_fix,vuln_age,vuln_sla_date
15,host1.internal,10.20.1.234,,00-11-22-33-44-55,host1,asset-001,10.20.1.234,,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,host1.internal,HOST1,net-001,DMZ,Windows Server 2022,Windows Server 2022,server,prod|internet,true,false,100001,cpe:/a:vendor:webapp:5.1,CVE-2026-0001,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,8.7,E:POC,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.0,E:H,9.6,AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H,CWE-94,The web service accepts crafted requests that lead to remote code execution,0.98,Functional exploit available,false,true,Web Servers,,,IAVM-2026-A-001,,200001,true,false,IO Critical Web RCE,2026-05-10,2026-05-05,2026-05-18,1.0.0,KB-5001|ADV-5001,https://kb.example/io-5001,Critical,Apply the vendor hotfix and restart the web service,high,Unauthenticated remote code execution on the web service,remote,false,high,low,9.8,functional,widespread,high,high,medium,5,9.8,CVE-2026-0001,chain-1,functional,0.98,8,high,4,0,none,true,finance|healthcare,global,99,Critical,9.8,2026-05-01,Disable public exposure until patched,2026-05-09,temporary,2026-05-20,io-001,,2026-06-03,Remote code path verified,443,tcp,,2026-06-01,2026-06-03,scan-001,10.20.1.234,Critical,false,tenable_io,open,4,15,2026-06-05
16,host1.internal,10.20.1.234,,00-11-22-33-44-55,host1,asset-001,10.20.1.234,,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,host1.internal,HOST1,net-001,DMZ,Windows Server 2022,Windows Server 2022,server,prod|internet,true,false,100002,cpe:/a:vendor:adminportal:3.2,CVE-2026-0002,9.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.9,E:POC,9.1,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:L,8.4,E:H,8.9,AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:L,CWE-287,The management endpoint contains an authentication bypass condition,0.72,No known exploits,false,false,Web Servers,,,IAVM-2026-A-002,,200002,true,false,IO Critical Auth Bypass,2026-05-11,2026-05-04,2026-05-17,1.0.1,KB-5002|ADV-5002,https://kb.example/io-5002,Critical,Apply the latest appliance update and rotate administrator credentials,high,Administrative portal can be accessed without valid credentials,remote,false,high,low,9.1,unproven,widespread,high,high,medium,4,8.8,CVE-2026-0002,chain-2,unproven,0.51,7,high,3,0,none,false,technology,global,93,High,8.9,2026-04-28,Restrict access to trusted administrators,2026-05-10,temporary,2026-05-19,io-002,,2026-06-03,Administrative bypass confirmed,8443,tcp,,2026-06-01,2026-06-03,scan-001,10.20.1.234,Critical,false,tenable_io,open,5,16,2026-06-06
17,host1.internal,10.20.1.234,,00-11-22-33-44-55,host1,asset-001,10.20.1.234,,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,host1.internal,HOST1,net-001,DMZ,Windows Server 2022,Windows Server 2022,server,prod|internet,true,false,100003,cpe:/a:vendor:uploadsvc:2.4,CVE-2026-0003,10.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,8.8,E:POC,9.7,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.0,E:H,9.5,AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H,CWE-434,The upload handler does not sanitize executable content,0.95,Functional exploit available,false,true,Application Servers,,,IAVM-2026-A-003,,200003,true,false,IO Critical Upload RCE,2026-05-13,2026-05-06,2026-05-19,1.0.2,KB-5003|ADV-5003,https://kb.example/io-5003,Critical,Disable the upload feature and apply the fixed build immediately,high,File upload leads to command execution,remote,false,high,low,9.7,functional,widespread,high,high,medium,5,9.6,CVE-2026-0003,chain-3,functional,0.95,8,high,4,0,none,true,finance|healthcare,global,98,Critical,9.5,2026-05-03,Disable uploads on public instances,2026-05-12,temporary,2026-05-18,io-003,,2026-06-03,Upload endpoint exploited in lab,9443,tcp,,2026-06-01,2026-06-03,scan-001,10.20.1.234,Critical,false,tenable_io,open,3,17,2026-06-05
18,host1.internal,10.20.1.234,,00-11-22-33-44-55,host1,asset-001,10.20.1.234,,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,host1.internal,HOST1,net-001,DMZ,Windows Server 2022,Windows Server 2022,server,prod|internet,true,false,100004,cpe:/a:vendor:webapp:5.1,CVE-2026-0004,8.2,AV:N/AC:L/Au:S/C:P/I:P/A:P,7.1,E:POC,8.8,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:L,8.0,E:P,8.4,AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L,CWE-613,An attacker can bypass normal authorization checks,0.81,High,false,true,Web Servers,,,IAVM-2026-A-004,,200004,true,false,IO High Session Bypass,2026-05-14,2026-05-07,2026-05-20,1.0.3,KB-5004|ADV-5004,https://kb.example/io-5004,High,Install the vendor patch and invalidate active sessions,medium,Session handling flaw grants elevated access,remote,false,high,low,8.8,high,widespread,high,high,medium,5,8.4,CVE-2026-0004,chain-4,high,0.81,6,medium,3,0,none,false,technology,global,92,High,8.4,2026-05-02,Limit external access until patched,2026-05-13,temporary,2026-05-17,io-004,,2026-06-03,Session token bypass reproduced,443,tcp,,2026-06-01,2026-06-03,scan-001,10.20.1.234,High,false,tenable_io,open,6,18,2026-06-07
19,host1.internal,10.20.1.234,,00-11-22-33-44-55,host1,asset-001,10.20.1.234,,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,host1.internal,HOST1,net-001,DMZ,Windows Server 2022,Windows Server 2022,server,prod|internet,true,false,100005,cpe:/a:vendor:mgmtservice:4.8,CVE-2026-0005,7.5,AV:N/AC:L/Au:S/C:P/I:P/A:P,6.8,E:POC,8.1,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:L,7.5,E:P,7.9,AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L,CWE-1391,The service was deployed with unchanged administrative credentials,0.76,Easy,false,true,Default Accounts,,,IAVM-2026-A-005,,200005,true,false,IO High Default Credentials,2026-05-12,2026-05-08,2026-05-20,1.0.4,KB-5005|ADV-5005,https://kb.example/io-5005,High,Rotate credentials and enforce unique administrator passwords,medium,Exposed service accepts vendor default credentials,authenticated,false,high,low,8.1,easy,widespread,high,high,medium,4,8.1,CVE-2026-0005,chain-5,easy,0.76,5,medium,3,0,none,false,technology,global,90,High,8.1,2026-05-04,Disable management access from the internet,2026-05-11,temporary,2026-05-16,io-005,,2026-06-03,Default credentials still active,8080,tcp,,2026-06-01,2026-06-03,scan-001,10.20.1.234,High,false,tenable_io,open,7,19,2026-06-08
25,host1.internal,10.20.1.234,,00-11-22-33-44-55,host1,asset-001,10.20.1.234,,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,host1.internal,HOST1,net-001,DMZ,Windows Server 2022,Windows Server 2022,server,prod|internet,true,false,100006,cpe:/o:microsoft:windows_server_2022,CVE-2026-0006,6.8,AV:N/AC:M/Au:S/C:P/I:P/A:P,6.0,E:U,7.6,AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:L,6.9,E:U,7.2,AV:N/AC:H/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L,CWE-693,The host is missing a defense in depth update for remote desktop,0.41,No known exploits,false,false,Windows,,,IAVM-2026-A-006,,200006,false,false,IO High Remote Desktop Hardening Gap,2026-05-09,2026-04-22,2026-05-16,1.0.5,KB-5006|ADV-5006,https://kb.example/io-5006,High,Apply the cumulative security update during the next patch window,medium,Remote desktop hardening gap detected,remote,false,high,low,7.6,unproven,targeted,medium,medium,low,2,7.2,CVE-2026-0006,chain-6,unproven,0.21,1,low,1,0,none,false,enterprise,global,70,Medium,7.0,2026-04-20,Restrict RDP to the jump host,2026-05-08,temporary,2026-05-10,io-006,,2026-06-02,NLA protections can be bypassed under edge cases,3389,tcp,,2026-05-30,2026-06-02,scan-001,10.20.1.234,High,false,tenable_io,open,15,25,2026-06-20
28,host1.internal,10.20.1.234,,00-11-22-33-44-55,host1,asset-001,10.20.1.234,,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,host1.internal,HOST1,net-001,DMZ,Windows Server 2022,Windows Server 2022,server,prod|internet,true,false,100007,cpe:/a:oracle:database_server:19c,CVE-2026-0007,6.5,AV:N/AC:M/Au:S/C:P/I:P/A:P,5.9,E:U,7.4,AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:L/A:L,6.8,E:U,7.1,AV:N/AC:H/AT:N/PR:L/UI:N/VC:H/VI:L/VA:L,CWE-200,The listener leaks metadata that aids follow-on compromise,0.38,No known exploits,false,false,Databases,,,IAVM-2026-A-007,,200007,false,false,IO High Database Listener Exposure,2026-05-08,2026-04-24,2026-05-15,1.0.6,KB-5007|ADV-5007,https://kb.example/io-5007,High,Apply the quarterly CPU and restrict network access,medium,Privilege boundary issue in database listener,authenticated,false,high,low,7.4,unproven,targeted,medium,medium,low,2,6.9,CVE-2026-0007,chain-7,unproven,0.18,1,low,1,0,none,false,enterprise,global,68,Medium,6.8,2026-04-18,Restrict listener access to DB admins,2026-05-07,temporary,2026-05-09,io-007,,2026-06-02,Database listener allows unsafe metadata access,1521,tcp,,2026-05-30,2026-06-02,scan-001,10.20.1.234,High,false,tenable_io,open,18,28,2026-06-25
55,host1.internal,10.20.1.234,,00-11-22-33-44-55,host1,asset-001,10.20.1.234,,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,host1.internal,HOST1,net-001,DMZ,Windows Server 2022,Windows Server 2022,server,prod|internet,true,false,100008,cpe:/a:vendor:webapp:5.1,CVE-2026-0008,4.3,AV:N/AC:M/Au:N/C:N/I:P/A:N,3.8,E:U,5.6,AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,4.4,E:U,5.4,AV:N/AC:H/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N,CWE-327,The server still accepts legacy TLS cipher suites,0.07,No known exploits,false,false,Web Servers,,,IAVM-2026-A-008,,200008,false,false,IO Medium TLS Weak Ciphers,2026-01-15,2025-12-15,2026-05-14,1.0.7,KB-5008|ADV-5008,https://kb.example/io-5008,Medium,Disable weak ciphers and enforce modern TLS settings,low,Weak cipher support detected,remote,false,medium,low,5.6,unproven,widespread,low,low,low,1,4.9,CVE-2026-0008,chain-8,unproven,0.04,0,low,0,0,none,false,all,global,45,Low,4.8,2025-12-11,Temporarily disable TLS 1.0 and 1.1,2026-01-14,temporary,2026-04-10,io-008,,2026-06-02,Legacy TLS suites enabled,443,tcp,,2026-05-30,2026-06-02,scan-001,10.20.1.234,Medium,false,tenable_io,open,40,55,2026-07-15
95,host2.internal,10.20.1.200,,00-11-22-33-44-99,host2,asset-002,10.20.1.200,,2026-06-01T02:00:00Z,2026-06-01T03:00:00Z,host2.internal,HOST2,net-002,Internal,Windows Server 2019,Windows Server 2019,server,internal,true,false,100101,cpe:/a:openbsd:openssh:9.1,CVE-2026-0101,2.1,AV:N/AC:L/Au:N/C:P/I:N/A:N,1.9,E:U,3.1,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,2.6,E:U,2.8,AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N,CWE-200,The SSH service discloses product and build information,0.01,No known exploits,false,false,General,,,,,200101,false,false,IO Low SSH Banner Disclosure,2025-11-10,2025-11-02,2026-04-21,1.0.8,KB-5101|ADV-5101,https://kb.example/io-5101,Low,Reduce banner verbosity and patch during normal maintenance,low,Service banner disclosure,remote,false,low,low,3.1,unproven,limited,low,low,low,0,2.8,CVE-2026-0101,chain-9,unproven,0.01,0,low,0,0,none,false,all,global,15,Low,2.7,2025-11-01,Hide the OpenSSH version string,2025-11-09,temporary,2026-03-02,io-101,,2026-05-31,Banner reveals exact OpenSSH build,22,tcp,,2026-05-20,2026-05-31,scan-002,10.20.1.200,Low,false,tenable_io,open,90,95,2026-09-01
44,host2.internal,10.20.1.200,,00-11-22-33-44-99,host2,asset-002,10.20.1.200,,2026-06-01T02:00:00Z,2026-06-01T03:00:00Z,host2.internal,HOST2,net-002,Internal,Windows Server 2019,Windows Server 2019,server,internal,true,false,100102,cpe:/o:microsoft:windows_server_2019,CVE-2026-0102,5.8,AV:N/AC:M/Au:N/C:P/I:P/A:N,4.9,E:POC,6.4,AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,5.7,E:P,6.2,AV:N/AC:H/AT:N/PR:N/UI:N/VC:L/VI:L/VA:N,CWE-300,The host does not require SMB signing for all sessions,0.54,Proof of concept,false,true,Windows,,,,,200102,false,false,IO Medium SMB Signing Disabled,2026-01-10,2025-12-10,2026-04-22,1.0.9,KB-5102|ADV-5102,https://kb.example/io-5102,Medium,Enforce SMB signing via system policy,medium,SMB hardening gap,remote,false,medium,low,6.4,poc,widespread,medium,medium,medium,2,6.6,CVE-2026-0102,chain-10,poc,0.54,2,medium,1,0,none,false,enterprise,regional,60,Medium,6.2,2025-12-05,Restrict SMB to trusted networks,2026-01-09,temporary,2026-04-21,io-102,,2026-06-01,SMB signing not enforced,445,tcp,,2026-05-22,2026-06-01,scan-002,10.20.1.200,Medium,false,tenable_io,open,35,44,2026-07-20
