Vulnerability Priority Rating,Exploit Prediction Scoring System (EPSS),IP Address,Protocol,Port,ACR,AES,Exploit?,Repository,MAC Address,DNS Name,NetBIOS Name,Plugin Output,Synopsis,Description,Steps to Remediate,Risk Factor,STIG Severity,CVSS V2 Base Score,CVSS V3 Base Score,CVSS V4 Base Score,CVSS V2 Temporal Score,CVSS V3 Temporal Score,CVSS V4 Threat Score,CVSS V2 Vector,CVSS V3 Vector,CVSS V4 Vector,CVSS V4 Threat Vector,CVSS V4 Supplemental,CPE,CVE,BID,Cross References,First Discovered,Last Observed,Vuln Publication Date,Security End of Life Date,Patch Publication Date,Plugin Publication Date,Plugin Modification Date,Exploit Ease,Exploit Frameworks,Check Type,Version,Recast Risk Comment,Accept Risk Comment,Agent ID,Host ID,Nessus Web Tests,Thorough Tests,Scan Accuracy,Plugin Name,Family,Plugin,Severity,See Also
9.8,0.98,10.20.1.234,tcp,443,Low,None,Yes,DMZ,00-11-22-33-44-55,host1.internal,HOST1,Remote code path verified,Unauthenticated remote code execution on the web service,The web service accepts crafted requests that lead to remote code execution,Apply the vendor hotfix and restart the web service,Critical,high,10.0,9.8,9.6,8.7,9.0,9.2,AV:N/AC:L/Au:N/C:C/I:C/A:C,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H,AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H,E:U,cpe:/a:vendor:webapp:5.1,CVE-2026-0001,100001,KB-5001|ADV-5001,2026-05-20,2026-06-03,2026-05-01,2028-12-31,2026-05-10,2026-05-05,2026-05-18,High,Metasploit,Remote,5.1,Pending review,None,agent-001,host-001,0,1,98,Critical RCE on Web Service,Web Servers,100001,Critical,https://kb.example/sc-5001
8.9,0.72,10.20.1.234,tcp,8443,Low,None,No,DMZ,00-11-22-33-44-55,host1.internal,HOST1,Administrative bypass confirmed,Administrative portal can be accessed without valid credentials,The management endpoint contains an authentication bypass condition,Apply the latest appliance update and rotate administrator credentials,Critical,high,9.0,9.1,8.9,7.9,8.4,8.6,AV:N/AC:L/Au:N/C:P/I:P/A:P,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:L,AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:L,AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:L,E:U,cpe:/a:vendor:adminportal:3.2,CVE-2026-0002,100002,KB-5002|ADV-5002,2026-05-19,2026-06-03,2026-04-28,2027-12-31,2026-05-11,2026-05-04,2026-05-17,Moderate,Public PoC,Remote,3.2,Pending validation,None,agent-001,host-001,0,1,97,Critical Authentication Bypass,Web Servers,100002,Critical,https://kb.example/sc-5002
9.6,0.95,10.20.1.234,tcp,9443,Low,None,Yes,DMZ,00-11-22-33-44-55,host1.internal,HOST1,Upload endpoint exploited in lab,File upload leads to command execution,The upload handler does not sanitize executable content,Disable the upload feature and apply the fixed build immediately,Critical,high,10.0,9.7,9.5,8.8,9.0,9.1,AV:N/AC:L/Au:N/C:C/I:C/A:C,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H,AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H,E:U,cpe:/a:vendor:uploadsvc:2.4,CVE-2026-0003,100003,KB-5003|ADV-5003,2026-05-18,2026-06-03,2026-05-03,2028-12-31,2026-05-13,2026-05-06,2026-05-19,High,Metasploit,Remote,2.4,Verified exploitable,None,agent-001,host-001,0,1,99,Critical Upload RCE,Application Servers,100003,Critical,https://kb.example/sc-5003
8.4,0.81,10.20.1.234,tcp,443,Low,None,Yes,DMZ,00-11-22-33-44-55,host1.internal,HOST1,Session token bypass reproduced,Session handling flaw grants elevated access,An attacker can bypass normal authorization checks,Install the vendor patch and invalidate active sessions,High,medium,8.2,8.8,8.4,7.1,8.0,8.2,AV:N/AC:L/Au:S/C:P/I:P/A:P,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:L,AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L,AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L,E:P,cpe:/a:vendor:webapp:5.1,CVE-2026-0004,100004,KB-5004|ADV-5004,2026-05-17,2026-06-03,2026-05-02,2028-12-31,2026-05-14,2026-05-07,2026-05-20,High,Metasploit,Remote,5.1,None,None,agent-001,host-001,0,1,98,High Session Bypass,Web Servers,100004,High,https://kb.example/sc-5004
8.1,0.76,10.20.1.234,tcp,8080,Low,None,Yes,DMZ,00-11-22-33-44-55,host1.internal,HOST1,Default credentials still active,Exposed service accepts vendor default credentials,The service was deployed with unchanged administrative credentials,Rotate credentials and enforce unique administrator passwords,High,medium,7.5,8.1,7.9,6.8,7.5,7.8,AV:N/AC:L/Au:S/C:P/I:P/A:P,AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:L,AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L,AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L,E:P,cpe:/a:vendor:mgmtservice:4.8,CVE-2026-0005,100005,KB-5005|ADV-5005,2026-05-16,2026-06-03,2026-05-04,2027-12-31,2026-05-12,2026-05-08,2026-05-20,High,Metasploit,Authenticated,4.8,None,None,agent-001,host-001,0,1,96,High Default Credentials,Default Accounts,100005,High,https://kb.example/sc-5005
7.3,0.41,10.20.1.234,tcp,3389,Low,None,No,DMZ,00-11-22-33-44-55,host1.internal,HOST1,NLA protections can be bypassed under edge cases,Remote desktop hardening gap detected,The host is missing a defense in depth update for remote desktop,Apply the cumulative security update during the next patch window,High,medium,6.8,7.6,7.2,6.0,6.9,7.0,AV:N/AC:M/Au:S/C:P/I:P/A:P,AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:L,AV:N/AC:H/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L,AV:N/AC:H/AT:N/PR:L/UI:N/VC:H/VI:H/VA:L,E:U,cpe:/o:microsoft:windows_server_2022,CVE-2026-0006,100006,KB-5006|ADV-5006,2026-05-10,2026-06-02,2026-04-20,2031-10-14,2026-05-09,2026-04-22,2026-05-16,Moderate,Public PoC,Remote,2022,None,None,agent-001,host-001,0,1,95,High Remote Desktop Hardening Gap,Windows,100006,High,https://kb.example/sc-5006
7.1,0.38,10.20.1.234,tcp,1521,Low,None,No,DMZ,00-11-22-33-44-55,host1.internal,HOST1,Database listener allows unsafe metadata access,Privilege boundary issue in database listener,The listener leaks metadata that aids follow-on compromise,Apply the quarterly CPU and restrict network access,High,medium,6.5,7.4,7.1,5.9,6.8,6.9,AV:N/AC:M/Au:S/C:P/I:P/A:P,AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:L/A:L,AV:N/AC:H/AT:N/PR:L/UI:N/VC:H/VI:L/VA:L,AV:N/AC:H/AT:N/PR:L/UI:N/VC:H/VI:L/VA:L,E:U,cpe:/a:oracle:database_server:19c,CVE-2026-0007,100007,KB-5007|ADV-5007,2026-05-09,2026-06-02,2026-04-18,2029-12-31,2026-05-08,2026-04-24,2026-05-15,Moderate,None,Authenticated,19c,None,None,agent-001,host-001,0,1,94,High Database Listener Exposure,Databases,100007,High,https://kb.example/sc-5007
5.4,0.07,10.20.1.234,tcp,443,Low,None,No,DMZ,00-11-22-33-44-55,host1.internal,HOST1,Legacy TLS suites enabled,Weak cipher support detected,The server still accepts legacy TLS cipher suites,Disable weak ciphers and enforce modern TLS settings,Medium,low,4.3,5.6,5.4,3.8,4.4,4.8,AV:N/AC:M/Au:N/C:N/I:P/A:N,AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,AV:N/AC:H/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N,AV:N/AC:H/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N,E:U,cpe:/a:vendor:webapp:5.1,CVE-2026-0008,100008,KB-5008|ADV-5008,2026-04-10,2026-06-02,2025-12-11,2028-12-31,2026-01-15,2025-12-15,2026-05-14,Low,None,Remote,5.1,None,Accepted until next maintenance,agent-001,host-001,0,1,93,Medium TLS Weak Ciphers,Web Servers,100008,Medium,https://kb.example/sc-5008
2.8,0.01,10.20.1.200,tcp,22,Low,None,No,Internal,00-11-22-33-44-99,host2.internal,HOST2,Banner reveals exact OpenSSH build,Service banner disclosure,The SSH service discloses product and build information,Reduce banner verbosity and patch during normal maintenance,Low,low,2.1,3.1,2.8,1.9,2.6,2.7,AV:N/AC:L/Au:N/C:P/I:N/A:N,AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N,AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N,E:U,cpe:/a:openbsd:openssh:9.1,CVE-2026-0101,100101,KB-5101|ADV-5101,2026-03-02,2026-05-31,2025-11-01,2030-12-31,2025-11-10,2025-11-02,2026-04-21,Low,None,Remote,9.1,None,Accepted low risk,agent-002,host-002,0,1,91,Low SSH Banner Disclosure,General,100101,Low,https://kb.example/sc-5101
6.6,0.54,10.20.1.200,tcp,445,Low,None,Yes,Internal,00-11-22-33-44-99,host2.internal,HOST2,SMB signing not enforced,SMB hardening gap,The host does not require SMB signing for all sessions,Enforce SMB signing via system policy,Medium,medium,5.8,6.4,6.2,4.9,5.7,5.9,AV:N/AC:M/Au:N/C:P/I:P/A:N,AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,AV:N/AC:H/AT:N/PR:N/UI:N/VC:L/VI:L/VA:N,AV:N/AC:H/AT:N/PR:N/UI:N/VC:L/VI:L/VA:N,E:P,cpe:/o:microsoft:windows_server_2019,CVE-2026-0102,100102,KB-5102|ADV-5102,2026-04-21,2026-06-01,2025-12-05,2029-01-09,2026-01-10,2025-12-10,2026-04-22,Moderate,Internal exploit chain,Local,2019,None,None,agent-002,host-002,0,1,92,Medium SMB Signing Disabled,Windows,100102,Medium,https://kb.example/sc-5102
